team,name,sport,blessure,position,date,position_complet
San Francisco,D. Jackson,nfl,Knee,DE,2024-05-01,Defensive End
San Francisco,D. Gray,nfl,Shoulder - AC Joint,WR,2024-05-01,Wide Receiver
San Francisco,C. Latu,nfl,Knee - Meniscus,TE,2024-05-01,Tight End
San Francisco,N. Zakelj,nfl,Biceps,OT,2024-05-01,Offensive Tackle
San Francisco,J. Hargrave,nfl,Thumb,NT,2024-05-01,Nose Tackle
San Francisco,K. Davis,nfl,Ankle,DT,2024-05-01,Defensive Tackle
San Francisco,T. Hawkins,nfl,Wrist,SAF,2024-05-01,Safety
San Francisco,C. Ward,nfl,Groin,CB,2024-03-25,Cornerback
San Francisco,G. Kittle,nfl,Groin,TE,2024-03-25,Tight End
San Francisco,T. Hufanga,nfl,Knee - ACL,SAF,2024-02-13,Safety
San Francisco,D. Greenlaw,nfl,Achilles,LB,2024-02-12,Linebacker
Seattle,J. Peters,nfl,Foot,OT,2024-05-01,Offensive Tackle
Seattle,A. Lucas,nfl,Knee,OT,2024-05-01,Offensive Tackle
Seattle,D. Thomas,nfl,Knee,LB,2024-05-01,Linebacker
Seattle,M. Morris,nfl,Shoulder,DE,2024-05-01,Defensive End
Seattle,K. McIntosh,nfl,Thumb,RB,2024-05-01,Running Back
Seattle,U. Nwosu,nfl,Pectoral,LB,2024-05-01,Linebacker
Seattle,J. Baker,nfl,Wrist,OLB,2024-05-01,Outside Linebacker
Seattle,J. Reed,nfl,Knee,DE,2024-05-01,Defensive End
Seattle,A. Whitaker,nfl,Knee,CB,2024-05-01,Cornerback
Seattle,D. Eskridge,nfl,Ribs,WR,2024-05-01,Wide Receiver
Seattle,J. Reed II,nfl,Knee - ACL,SAF,2024-02-13,Safety
Tampa Bay,T. Thomas,nfl,Hamstring,CB,2024-05-01,Cornerback
Tampa Bay,K. Merriweather,nfl,Ankle,SAF,2024-05-01,Safety
Tampa Bay,M. Greene,nfl,Calf,DT,2024-05-01,Defensive Tackle
Tampa Bay,A. Nelson,nfl,Elbow,LB,2024-05-01,Linebacker
Tampa Bay,J. Dean,nfl,Back,DB,2024-05-01,Defensive Back
Tampa Bay,R. Gage,nfl,Knee,WR,2024-05-01,Wide Receiver
Tennessee,A. Hooker,nfl,Knee,SAF,2024-05-06,Safety
Tennessee,C. Campbell,nfl,Undisclosed,LB,2024-05-01,Linebacker
Tennessee,J. Whyle,nfl,Knee,TE,2024-05-01,Tight End
Tennessee,J. Gibbens,nfl,Back,LB,2024-05-01,Linebacker
Tennessee,K. Jackson,nfl,Ankle,WR,2024-05-01,Wide Receiver
Tennessee,T. McLendon Jr.,nfl,Shoulder,DE,2024-05-01,Defensive End
Tennessee,L. Gifford,nfl,Hamstring,LB,2024-05-01,Linebacker
Tennessee,C. Murphy,nfl,Shoulder,LB,2024-05-01,Linebacker
Tennessee,A. Kendall,nfl,Knee,CB,2024-05-01,Cornerback
Tennessee,W. Levis,nfl,Foot,QB,2024-05-01,Quarterback
Tennessee,N. Petit-Frere,nfl,Shoulder,OT,2024-05-01,Offensive Tackle
Tennessee,J. Duncan,nfl,Neck,OT,2024-05-01,Offensive Tackle
Tennessee,H. Haskins,nfl,Undisclosed,RB,2024-05-01,Running Back
Tennessee,D. Brunskill,nfl,Ankle,OG,2024-05-01,Offensive Guard
Tennessee,R. Stonehouse,nfl,Knee,P,2024-05-01,Punter
Tennessee,C. Farley,nfl,Back,CB,2024-05-01,Cornerback
Tennessee,J. Simmons,nfl,Knee,DT,2024-05-01,Defensive Tackle
Tennessee,C. Dowell,nfl,Knee - ACL,WR,2024-02-13,Wide Receiver
Washington,A. Wylie,nfl,Elbow,OT,2024-05-01,Offensive Tackle
Washington,D. Forrest,nfl,Shoulder,SAF,2024-05-01,Safety
Washington,T. Castro-Fields,nfl,Shoulder,CB,2024-05-01,Cornerback
Washington,P. Butler,nfl,Wrist,SAF,2024-05-01,Safety
Washington,R. Stromberg,nfl,Knee,C,2024-05-01,Center
Washington,C. Rodriguez Jr.,nfl,Ankle,RB,2024-05-01,Running Back
Washington,J. Martin,nfl,Ankle,CB,2024-05-01,Cornerback
Washington,B. Daniels,nfl,Shoulder,OG,2024-05-01,Offensive Guard
Washington,D. Milne,nfl,Groin,WR,2024-05-01,Wide Receiver
Washington,E. Obada,nfl,Lower Leg,DE,2024-05-01,Defensive End
Washington,J. Allen,nfl,Knee,DE,2024-05-01,Defensive End
Washington,A. Rogers,nfl,Achilles,TE,2024-05-01,Tight End
Washington,C. Holmes,nfl,Concussion,CB,2024-05-01,Cornerback
Washington,J. Reaves,nfl,Knee - ACL,DB,2024-02-13,Defensive Back
Washington,N. Allegretti,nfl,Elbow,OG,2024-02-13,Offensive Guard
Washington,J. Davis,nfl,Shoulder,LB,2024-02-13,Linebacker
